EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevelID,EducationLevel,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3F3F-E438,Kathleen,Wanjek,Female,21,No Travel,Technology,24,CA,White,5,Information Systems,Software Engineer,Married,53912,2,Yes,2021-04-02,No,1,1,1,0,5,Doctorate,PR5847,2022-03-17,Very Satisfied,Very Satisfied,Dissatisfied,2,2,Satisfied,Meets Expectation,Needs Improvement
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters,PR1213,2016-07-30,Neutral,Neutral,Dissatisfied,2,0,Very Satisfied,Exceeds Expectation,Exceeds Expectation
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters,PR1035,2016-04-08,Neutral,Neutral,Dissatisfied,1,0,Dissatisfied,Meets Expectation,Needs Improvement
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,4,Masters,PR1340,2016-12-05,Satisfied,Dissatisfied,Neutral,2,0,Satisfied,Above and Beyond,Above and Beyond
73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,4,Masters,PR1527,2017-03-07,Neutral,Satisfied,Satisfied,2,1,Dissatisfied,Meets Expectation,Meets Expectation
277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,4,Masters,PR1273,2016-10-03,Neutral,Dissatisfied,Dissatisfied,1,2,Dissatisfied,Above and Beyond,Above and Beyond
97F4-0B14,Vernen,Powner,Male,33,Some Travel,Technology,4,NY,Mixed or multiple ethnic groups,4,Other,Senior Software Engineer,Single,97126,0,No,2012-01-15,No,10,8,10,2,4,Masters,PR1479,2017-02-15,Neutral,Neutral,Neutral,3,0,Neutral,Above and Beyond,Exceeds Expectation
DFA9-990E,Cale,Holston,Male,43,No Travel,Sales,34,NY,White,4,Marketing,Sales Executive,Married,108315,2,No,2012-01-17,No,10,9,10,10,4,Masters,PR1342,2016-12-05,Satisfied,Satisfied,Very Satisfied,2,0,Dissatisfied,Exceeds Expectation,Exceeds Expectation
469A-8121,Baxie,Rising,Male,30,Some Travel,Technology,36,CA,American Indian or Alaska Native,4,Information Systems,Engineering Manager,Married,328415,0,No,2012-01-20,No,10,1,10,1,4,Masters,PR1264,2016-09-27,Satisfied,Dissatisfied,Satisfied,1,0,Satisfied,Meets Expectation,Needs Improvement
B50B-5A18,Paulina,Senecaut,Female,40,Frequent Traveller,Technology,27,NY,Black or African American,4,Computer Science,Software Engineer,Divorced,42333,1,No,2012-02-19,No,10,4,5,5,4,Masters,PR1447,2017-02-01,Satisfied,Very Satisfied,Dissatisfied,1,3,Dissatisfied,Above and Beyond,Exceeds Expectation
E7A6-33A3,Amye,Townes,Female,38,Some Travel,Technology,39,IL,White,4,Information Systems,Data Scientist,Married,83590,1,No,2012-02-23,No,10,2,3,9,4,Masters,PR1502,2017-02-27,Satisfied,Satisfied,Neutral,3,2,Satisfied,Meets Expectation,Meets Expectation
2B08-7D3D,Roderic,Daddow,Male,45,Some Travel,Sales,19,IL,White,4,Marketing,Sales Representative,Married,47326,1,No,2012-02-29,No,10,10,10,10,4,Masters,PR1224,2016-08-10,Very Satisfied,Satisfied,Satisfied,1,1,Satisfied,Meets Expectation,Needs Improvement
132B-F2B2,Erica,Dracksford,Female,35,Some Travel,Technology,36,CA,White,4,Computer Science,Software Engineer,Married,59086,1,Yes,2012-03-04,No,10,2,8,4,4,Masters,PR1193,2016-07-10,Very Satisfied,Very Satisfied,Neutral,3,0,Neutral,Meets Expectation,Needs Improvement
4969-9A35,Thekla,Flintuff,Non-Binary,39,Frequent Traveller,Technology,8,CA,Asian or Asian American,4,Information Systems,Software Engineer,Single,137427,0,Yes,2012-03-04,No,10,9,10,8,4,Masters,PR1332,2016-11-28,Neutral,Neutral,Neutral,2,2,Dissatisfied,Exceeds Expectation,Meets Expectation
E5C1-B122,Camila,Hernik,Female,36,No Travel,Sales,33,NY,Asian or Asian American,4,Marketing,Sales Executive,Married,116057,1,No,2012-03-19,No,10,2,10,2,4,Masters,PR1351,2016-12-13,Satisfied,Very Satisfied,Neutral,3,1,Very Satisfied,Above and Beyond,Exceeds Expectation
C2DD-9D37,Ring,Genge,Male,42,Some Travel,Sales,16,IL,Asian or Asian American,4,Marketing,Sales Executive,Married,106277,2,No,2012-03-19,No,10,0,5,5,4,Masters,PR1380,2017-01-02,Very Satisfied,Dissatisfied,Very Satisfied,3,0,Neutral,Meets Expectation,Needs Improvement
0322-D46B,Nikolas,Leslie,Male,32,Some Travel,Sales,39,CA,Black or African American,4,Marketing,Sales Executive,Married,105748,2,No,2012-03-28,No,10,0,1,8,4,Masters,PR1516,2017-03-03,Satisfied,Very Satisfied,Neutral,1,0,Very Satisfied,Above and Beyond,Exceeds Expectation
1E61-70EC,Addison,Elfe,Male,46,Some Travel,Technology,11,CA,Black or African American,4,Information Systems,Software Engineer,Married,56608,3,Yes,2012-03-31,No,10,3,5,9,4,Masters,PR1163,2016-06-17,Neutral,Dissatisfied,Neutral,2,1,Dissatisfied,Meets Expectation,Needs Improvement
5222-EBE1,Saxe,Theodoris,Male,30,Some Travel,Technology,14,CA,Asian or Asian American,4,Computer Science,Machine Learning Engineer,Married,194823,1,No,2012-04-01,No,10,4,9,8,4,Masters,PR1520,2017-03-05,Satisfied,Satisfied,Dissatisfied,2,0,Satisfied,Exceeds Expectation,Exceeds Expectation
A366-C17A,Jodie,Le Breton De La Vieuville,Male,42,Some Travel,Technology,34,NY,White,4,Business Studies,Machine Learning Engineer,Divorced,126463,1,No,2012-04-04,No,10,0,1,8,4,Masters,PR1510,2017-03-01,Very Satisfied,Dissatisfied,Satisfied,2,2,Satisfied,Meets Expectation,Needs Improvement
085C-7FC2,Emmerich,Wallicker,Male,47,No Travel,Sales,17,NY,White,4,Other,Sales Executive,Married,176158,0,No,2012-04-13,No,10,9,10,2,4,Masters,PR1323,2016-11-20,Satisfied,Very Satisfied,Dissatisfied,2,3,Satisfied,Meets Expectation,Needs Improvement
AB5F-244C,Horst,Mynett,Male,36,Some Travel,Technology,7,CA,Black or African American,4,Computer Science,Data Scientist,Divorced,73643,1,No,2012-04-14,No,10,0,7,9,4,Masters,PR1162,2016-06-16,Satisfied,Satisfied,Neutral,1,2,Very Satisfied,Meets Expectation,Meets Expectation
58C8-63FA,Pierce,Birkby,Male,38,Some Travel,Technology,40,CA,White,4,Computer Science,Senior Software Engineer,Divorced,126505,1,No,2012-04-15,No,10,1,5,8,4,Masters,PR1348,2016-12-09,Satisfied,Dissatisfied,Neutral,2,1,Dissatisfied,Above and Beyond,Above and Beyond
EBBD-37D4,Bonni,Coal,Non-Binary,35,Some Travel,Sales,26,CA,Black or African American,4,Marketing,Sales Executive,Single,98435,0,No,2012-04-23,No,10,7,9,9,4,Masters,PR1300,2016-11-02,Neutral,Neutral,Neutral,1,2,Very Satisfied,Exceeds Expectation,Exceeds Expectation
5237-1B85,Faydra,Losbie,Female,28,Some Travel,Technology,9,NY,Asian or Asian American,4,Computer Science,Software Engineer,Single,43578,0,Yes,2012-04-27,Yes,5,3,5,5,4,Masters,PR1486,2017-02-21,Neutral,Neutral,Neutral,2,0,Very Satisfied,Above and Beyond,Exceeds Expectation
C25C-C434,Jillayne,Goshawke,Female,35,Frequent Traveller,Technology,39,CA,Mixed or multiple ethnic groups,4,Computer Science,Software Engineer,Single,71257,0,No,2012-05-01,No,10,1,6,10,4,Masters,PR1320,2016-11-18,Neutral,Neutral,Dissatisfied,1,0,Dissatisfied,Above and Beyond,Above and Beyond
F265-79B0,Glenda,Peacock,Female,37,Frequent Traveller,Technology,14,CA,Mixed or multiple ethnic groups,4,Computer Science,Machine Learning Engineer,Married,99936,1,No,2012-05-01,No,10,9,10,6,4,Masters,PR1336,2016-12-01,Very Satisfied,Very Satisfied,Neutral,1,0,Neutral,Meets Expectation,Meets Expectation
B1EC-849B,Paule,Mapplebeck,Female,28,Some Travel,Sales,1,CA,White,4,Marketing,Sales Executive,Married,87039,1,No,2012-05-13,No,10,3,5,4,4,Masters,PR1521,2017-03-05,Neutral,Very Satisfied,Very Satisfied,2,1,Satisfied,Meets Expectation,Meets Expectation
3EB2-9111,Ginger,Blinde,Male,48,Some Travel,Technology,26,IL,White,4,Information Systems,Data Scientist,Divorced,35749,2,No,2012-05-17,No,10,7,7,8,4,Masters,PR1170,2016-06-23,Very Satisfied,Neutral,Neutral,3,1,Satisfied,Exceeds Expectation,Exceeds Expectation
2F85-AF81,Cassandre,Joubert,Non-Binary,42,Some Travel,Technology,12,CA,White,4,Business Studies,Senior Software Engineer,Married,167089,1,No,2012-05-24,No,10,7,9,8,4,Masters,PR1185,2016-07-05,Satisfied,Dissatisfied,Satisfied,3,0,Satisfied,Meets Expectation,Meets Expectation
5B08-EF96,Karlen,Gulston,Female,36,No Travel,Technology,28,CA,Asian or Asian American,4,Other,Data Scientist,Divorced,77136,2,No,2012-05-28,No,10,10,10,10,4,Masters,PR1490,2017-02-22,Very Satisfied,Dissatisfied,Neutral,1,0,Neutral,Exceeds Expectation,Exceeds Expectation
E7D3-03C9,Whitman,Schruyers,Male,42,Some Travel,Sales,26,CA,White,4,Marketing,Sales Executive,Single,91179,0,No,2012-05-30,No,10,7,9,0,4,Masters,PR1261,2016-09-24,Very Satisfied,Dissatisfied,Very Satisfied,2,1,Satisfied,Above and Beyond,Exceeds Expectation
67ED-A630,Adan,Fradgley,Male,29,Some Travel,Sales,38,CA,Asian or Asian American,4,Marketing,Sales Executive,Married,102061,1,No,2013-01-17,No,9,5,9,5,4,Masters,PR1306,2016-11-06,Very Satisfied,Neutral,Neutral,1,1,Satisfied,Meets Expectation,Needs Improvement
96F4-896C,Kerwin,Wheadon,Male,43,No Travel,Technology,21,CA,White,4,Information Systems,Analytics Manager,Single,280756,0,No,2013-03-05,No,9,8,8,3,4,Masters,PR1055,2016-04-16,Very Satisfied,Very Satisfied,Very Satisfied,3,2,Neutral,Meets Expectation,Needs Improvement
1054-9C3B,Elizabeth,Babbe,Female,30,Some Travel,Technology,1,IL,Asian or Asian American,4,Other,Data Scientist,Married,40285,0,Yes,2013-03-21,Yes,1,1,1,0,4,Masters,PR1518,2017-03-05,Satisfied,Neutral,Neutral,1,1,Dissatisfied,Above and Beyond,Above and Beyond
2B7A-9C73,Bryanty,Wickersley,Non-Binary,45,Frequent Traveller,Technology,17,CA,White,4,Computer Science,Machine Learning Engineer,Single,123619,0,Yes,2013-05-01,No,9,7,9,2,4,Masters,PR1179,2016-06-29,Satisfied,Satisfied,Neutral,1,1,Satisfied,Meets Expectation,Meets Expectation
F838-C681,Shay,Casburn,Male,32,Some Travel,Technology,22,IL,Black or African American,4,Business Studies,Software Engineer,Married,72688,1,No,2013-05-06,No,9,3,3,8,4,Masters,PR1329,2016-11-25,Neutral,Satisfied,Neutral,3,1,Dissatisfied,Exceeds Expectation,Exceeds Expectation
21B3-8491,Nicky,Janssens,Male,42,Some Travel,Technology,37,CA,Black or African American,4,Computer Science,Analytics Manager,Married,244114,1,No,2013-05-28,No,9,6,7,0,4,Masters,PR1512,2017-03-02,Satisfied,Very Satisfied,Neutral,3,0,Satisfied,Meets Expectation,Needs Improvement
AB81-A3A0,Jerrome,Furney,Male,29,Some Travel,Sales,14,CA,White,4,Marketing,Sales Executive,Married,96319,2,No,2013-06-14,No,9,1,4,5,4,Masters,PR1059,2016-04-18,Satisfied,Neutral,Dissatisfied,1,1,Neutral,Above and Beyond,Above and Beyond
8CF6-3079,Jaquenetta,Corkel,Female,27,Some Travel,Technology,1,NY,Black or African American,4,Computer Science,Data Scientist,Divorced,40050,1,Yes,2013-07-16,Yes,1,0,0,0,4,Masters,PR1448,2017-02-02,Satisfied,Neutral,Dissatisfied,2,0,Neutral,Exceeds Expectation,Meets Expectation
F430-0404,Randie,Mouth,Female,32,No Travel,Sales,23,CA,Asian or Asian American,4,Economics,Sales Executive,Divorced,237749,1,No,2013-07-19,No,9,1,6,6,4,Masters,PR1039,2016-04-10,Satisfied,Very Satisfied,Satisfied,2,1,Dissatisfied,Meets Expectation,Needs Improvement
1F12-DDDA,Farly,Drinan,Male,32,No Travel,Technology,12,NY,White,4,Information Systems,Software Engineer,Married,111294,1,No,2013-07-19,No,9,2,9,4,4,Masters,PR1450,2017-02-02,Satisfied,Satisfied,Very Satisfied,3,2,Dissatisfied,Above and Beyond,Exceeds Expectation
CD4D-7BBA,Cristian,Massy,Male,43,Some Travel,Technology,38,CA,White,4,Computer Science,Software Engineer,Married,155786,1,Yes,2013-07-29,No,9,0,7,5,4,Masters,PR1153,2016-06-06,Satisfied,Very Satisfied,Neutral,3,2,Satisfied,Meets Expectation,Needs Improvement
7349-CCE0,Elisabeth,Pettyfar,Female,32,Some Travel,Technology,7,CA,Mixed or multiple ethnic groups,4,Computer Science,Software Engineer,Divorced,85568,1,No,2013-07-31,No,9,7,9,1,4,Masters,PR1141,2016-05-29,Neutral,Dissatisfied,Satisfied,1,1,Dissatisfied,Above and Beyond,Above and Beyond
279C-7342,Amelita,Liveley,Non-Binary,29,Frequent Traveller,Sales,31,CA,White,4,Marketing,Sales Executive,Married,100925,1,Yes,2013-08-08,Yes,3,1,1,1,4,Masters,PR1472,2017-02-12,Neutral,Neutral,Neutral,2,0,Satisfied,Meets Expectation,Meets Expectation
9811-F345,Wells,Mulholland,Male,42,Some Travel,Technology,40,CA,Black or African American,4,Computer Science,Data Scientist,Divorced,142075,1,No,2013-08-15,No,9,9,9,4,4,Masters,PR1229,2016-08-13,Neutral,Dissatisfied,Very Satisfied,1,2,Neutral,Above and Beyond,Above and Beyond
52CC-3E9E,Ogdon,Madsen,Male,30,Frequent Traveller,Technology,13,CA,Mixed or multiple ethnic groups,4,Computer Science,Software Engineer,Divorced,40321,1,Yes,2013-08-26,Yes,5,0,0,3,4,Masters,PR1044,2016-04-12,Neutral,Neutral,Satisfied,1,1,Neutral,Meets Expectation,Needs Improvement
ED49-73D3,Carita,Frazier,Female,28,Some Travel,Sales,18,IL,White,4,Marketing,Sales Executive,Single,134427,0,Yes,2013-08-28,No,9,9,9,2,4,Masters,PR1131,2016-05-24,Neutral,Very Satisfied,Dissatisfied,1,0,Satisfied,Above and Beyond,Exceeds Expectation
